,0,1,2,3
P_ground,0.0,0.0,0.0,0.0
Pd_ground,0.0,0.0,0.0,0.0
Pd_rbs_conct,0.0,0.0,0.0,0.0
Pd_rbs_crank,0.0,0.0,0.0,0.0
Pd_rbs_slider,0.0,0.0,0.0,0.0
Pdd_ground,0.0,0.0,0.0,0.0
Pdd_rbs_conct,0.0,0.0,0.0,0.0
Pdd_rbs_crank,0.0,0.0,0.0,0.0
Pdd_rbs_slider,0.0,0.0,0.0,0.0
R_ground,0.0,0.0,0.0,0.0
Rd_ground,0.0,0.0,0.0,0.0
Rd_rbs_conct,0.0,0.0,0.0,0.0
Rd_rbs_crank,0.0,0.0,0.0,0.0
Rd_rbs_slider,0.0,0.0,0.0,0.0
Rdd_ground,0.0,0.0,0.0,0.0
Rdd_rbs_conct,0.0,0.0,0.0,0.0
Rdd_rbs_crank,0.0,0.0,0.0,0.0
Rdd_rbs_slider,0.0,0.0,0.0,0.0
ax1_jcs_a,0.0,0.0,0.0,0.0
ax1_jcs_b,0.0,0.0,0.0,0.0
hps_a,0.0,0.0,0.0,0.0
hps_b,0.0,0.0,0.0,0.0
hps_c,0.0,0.0,0.0,0.0
hps_d,0.0,0.0,0.0,0.0
hps_s1,0.0,0.0,0.0,0.0
hps_s2,0.0,0.0,0.0,0.0
s_conct_raduis,0.0,0.0,0.0,0.0
s_crank_raduis,0.0,0.0,0.0,0.0
s_slider_raduis,0.0,0.0,0.0,0.0
vcs_v,0.0,0.0,0.0,0.0
