,0,1,2,3
Jbar_rbs_dummy,0,0,0,0
P_rbs_dummy,1,0,0,0
Pd_rbs_block,0,0,0,0
Pd_rbs_dummy,0,0,0,0
Pdd_rbs_block,0,0,0,0
Pdd_rbs_dummy,0,0,0,0
R_rbs_dummy,0,0,0,0
Rd_rbs_block,0,0,0,0
Rd_rbs_dummy,0,0,0,0
Rdd_rbs_block,0,0,0,0
Rdd_rbs_dummy,0,0,0,0
T_rbs_block_fas_spring,0,0,0,0
T_vbs_ground_fas_spring,0,0,0,0
ax1_jcs_cyl_joint,0,0,1,0
ax1_jcs_fixed,0,0,1,0
fas_spring_FL,100,0,0,0
hps_bottom,0,0,-80,0
hps_origin,0,0,0,0
hps_top,0,0,-120,0
m_rbs_dummy,1,0,0,0
pt1_fas_spring,0,0,-80,0
pt1_jcs_fixed,0,0,0,0
pt2_fas_spring,0,0,0,0
s_outer_raduis,40,0,0,0
