,0,1,2,3
Jbar_rbs_coupler,0.0,0.0,0.0,0.0
Jbar_rbs_crank,0.0,0.0,0.0,0.0
Jbar_rbs_rocker,0.0,0.0,0.0,0.0
P_rbs_coupler,0.0,0.0,0.0,0.0
P_rbs_crank,0.0,0.0,0.0,0.0
P_rbs_rocker,0.0,0.0,0.0,0.0
Pd_rbs_coupler,0.0,0.0,0.0,0.0
Pd_rbs_crank,0.0,0.0,0.0,0.0
Pd_rbs_rocker,0.0,0.0,0.0,0.0
Pdd_rbs_coupler,0.0,0.0,0.0,0.0
Pdd_rbs_crank,0.0,0.0,0.0,0.0
Pdd_rbs_rocker,0.0,0.0,0.0,0.0
R_rbs_coupler,0.0,0.0,0.0,0.0
R_rbs_crank,0.0,0.0,0.0,0.0
R_rbs_rocker,0.0,0.0,0.0,0.0
Rd_rbs_coupler,0.0,0.0,0.0,0.0
Rd_rbs_crank,0.0,0.0,0.0,0.0
Rd_rbs_rocker,0.0,0.0,0.0,0.0
Rdd_rbs_coupler,0.0,0.0,0.0,0.0
Rdd_rbs_crank,0.0,0.0,0.0,0.0
Rdd_rbs_rocker,0.0,0.0,0.0,0.0
ax1_jcs_rev_crank,0.0,0.0,0.0,0.0
ax1_jcs_rev_rocker,0.0,0.0,0.0,0.0
ax1_jcs_sph_coupler_crank,0.0,0.0,0.0,0.0
ax1_jcs_uni_coupler_rocker,0.0,0.0,0.0,0.0
ax2_jcs_uni_coupler_rocker,0.0,0.0,0.0,0.0
m_rbs_coupler,0.0,0.0,0.0,0.0
m_rbs_crank,0.0,0.0,0.0,0.0
m_rbs_rocker,0.0,0.0,0.0,0.0
pt1_jcs_rev_crank,0.0,0.0,0.0,0.0
pt1_jcs_rev_rocker,0.0,0.0,0.0,0.0
pt1_jcs_sph_coupler_crank,0.0,0.0,0.0,0.0
pt1_jcs_uni_coupler_rocker,0.0,0.0,0.0,0.0
