,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,FB.rbs_crank.x,FB.rbs_crank.y,FB.rbs_crank.z,FB.rbs_crank.e0,FB.rbs_crank.e1,FB.rbs_crank.e2,FB.rbs_crank.e3,FB.rbs_rocker.x,FB.rbs_rocker.y,FB.rbs_rocker.z,FB.rbs_rocker.e0,FB.rbs_rocker.e1,FB.rbs_rocker.e2,FB.rbs_rocker.e3,FB.rbs_coupler.x,FB.rbs_coupler.y,FB.rbs_coupler.z,FB.rbs_coupler.e0,FB.rbs_coupler.e1,FB.rbs_coupler.e2,FB.rbs_coupler.e3
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,-575.0,-850.0,325.0,1.0,0.0,0.0,0.0,-375.0,-425.0,425.0,1.0,0.0,0.0,0.0
1,5.274263312061293e-22,1.0587911839446159e-22,6.221494095419568e-22,1.0,7.650847471516109e-25,-3.579171452314336e-24,2.8621633852609454e-24,5.69365690647537e-23,-9.902943021092883,99.50845599292037,0.9987703977035765,0.04957567346740717,-2.5542174002962688e-24,4.006525090420445e-24,-590.7682524820867,-850.0,316.00232657621575,0.9996975663769706,5.817404027028281e-24,-0.02459193249454686,3.81322637875891e-25,-390.7682524820867,-434.9029430210929,415.51078256913615,0.9997162846924023,-0.008749276813597011,-0.020703332550840368,-0.007884076644073713
2,4.093709321456973e-23,1.2490016291044659e-21,2.2342078531360204e-21,1.0,-2.046767293551193e-24,-5.9692107674845784e-24,1.9232930534462406e-24,-1.0128428037301594e-21,-19.708530317740234,98.03863997096106,0.995084532701036,0.0990294275012195,-5.566448266400185e-24,2.728365546121368e-24,-604.887550408597,-850.0,307.03597136970535,0.9988837991218278,8.15756020833461e-25,-0.04723495817186855,4.723657550849364e-24,-404.887550408597,-444.70853031774027,405.0746113406664,0.9989708987525338,-0.017294555754527974,-0.03891037745479907,-0.01562077856743975
3,3.330313217954986e-22,-2.2739530904501738e-23,4.885688256545173e-22,1.0,-3.7787018524011324e-24,-1.1183568824687171e-23,-2.2676781578408245e-24,-1.7956112307385335e-21,-29.32036326839329,95.60500715156327,0.9889514968510086,0.14823964249892257,-1.0796124358645992e-23,2.2687570092768506e-25,-617.4030398195526,-850.0,298.30506851731525,0.9976939963101882,-6.282494593495639e-24,-0.06787248098360249,-1.779912944894435e-24,-417.4030398195527,-454.3203632683933,393.9100756688785,0.997912406403308,-0.025604986370110158,-0.05460210339625636,-0.023104269156295765
4,7.179551844557894e-22,-1.3495098362140381e-21,9.982764663403023e-22,1.0,1.3909398785144654e-24,-2.3106249429082695e-24,-4.3740593227400995e-25,3.610972295373301e-22,-38.64394804849169,92.23148255268636,0.9803863728803383,0.19708529778396244,-1.9474349435692474e-24,6.339762573099226e-25,-628.356604804584,-850.0,290.0056144224071,0.9962576362656131,9.270835089815342e-25,-0.08643324091088694,6.291860291129711e-25,-428.356604804584,-463.64394804849167,382.23709697509344,0.9966752804845441,-0.03365091488201217,-0.06776345541469272,-0.03023405074863016
5,1.3474845736178603e-22,1.1084494179602954e-21,-2.8303268951665673e-21,1.0,2.0531684698824665e-24,5.869572934070084e-24,-2.672787112930233e-26,1.0307502330561972e-21,-47.5876245980534,87.95123125775874,0.9694102246494141,0.24544626922654889,5.1986745117457686e-24,-2.280077232843024e-24,-637.7802741626037,-850.0,282.33054464612894,0.9946996644120776,5.090811645340802e-24,-0.1028229550293533,9.052301010794607e-25,-437.78027416260375,-472.5876245980534,370.2817759038877,0.9953794810682418,-0.04140351662710756,-0.07837529477535352,-0.03691521642555959
6,-2.8781666239064946e-22,-5.856164765483053e-22,-1.1362610006579667e-21,1.0,-3.059443222256651e-24,-1.0723813136854303e-23,1.0583215574664607e-24,-2.0439877505464498e-21,-56.06346773075503,82.80633237043895,0.9560500453523488,0.2932036246601169,-1.0269770916872022e-23,3.5386970944171626e-24,-645.6901288989313,-850.0,275.4747825200221,0.9931417565562006,-7.18483312729226e-24,-0.11691635440325762,7.323965108426068e-25,-445.69012889893133,-481.063467730755,358.281114890461,0.9941302912741572,-0.04883427566175876,-0.08640665031916676,-0.043058698281642355
7,-6.949173110790323e-23,3.1763735513408097e-22,2.543897850811105e-22,1.0,2.8916338789295744e-25,-1.0482540678027133e-24,-3.204041301937742e-25,-4.405236408151769e-22,-63.98815152547663,76.84736533540793,0.9403386911337174,0.34023991636635775,-1.6015616264909698e-24,-1.0261825286230985e-24,-652.080277045261,-850.0,269.63962871581083,0.9917030584356918,4.779854171374248e-25,-0.12854970707539473,2.0142954044348514e-24,-452.080277045261,-488.98815152547667,346.48699405121874,0.9930180378859937,-0.05591418467337259,-0.09180737816821245,-0.048581582642503306
8,6.386473062673274e-22,9.736969625366593e-22,-1.3272343405713184e-21,1.0,-1.059045663719783e-24,-5.371866308669848e-24,-3.66792624158982e-25,-3.8154588894598003e-22,-71.28376850252087,70.13291269240165,0.9223148002867791,0.38643946990960687,-5.67078330632503e-24,3.3454561048229544e-25,-656.9165809261114,-850.0,265.03559446128844,0.9904997678497646,5.910444087931887e-25,-0.1375143439539752,9.51203847574965e-25,-456.91658092611135,-496.28376850252084,335.1685071536901,0.9921172886244041,-0.06261258569097632,-0.09450166683577764,-0.05340759175009406
9,-7.213922738564389e-22,2.391057841385308e-22,2.3643125571907546e-21,1.0,-9.985678842579968e-25,1.4820637701801978e-25,1.5324229875405591e-24,-4.519063901105123e-22,-77.87859979364694,62.728987585188264,0.9020227229166645,0.4316886804238695,8.239206457139048e-25,1.3997012870903785e-24,-660.1300543859795,-850.0,261.8823171759894,0.9896427104729775,-4.4374274253049375e-24,-0.14355236262843557,2.8021050682951307e-26,-460.1300543859796,-502.8785997936469,324.6113047611777,0.9914850457273928,-0.06889562665879165,-0.09438334698376072,-0.05746787358843653
