,ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,SG.rbs_table.x,SG.rbs_table.y,SG.rbs_table.z,SG.rbs_table.e0,SG.rbs_table.e1,SG.rbs_table.e2,SG.rbs_table.e3,SG.rbs_link_1.x,SG.rbs_link_1.y,SG.rbs_link_1.z,SG.rbs_link_1.e0,SG.rbs_link_1.e1,SG.rbs_link_1.e2,SG.rbs_link_1.e3,SG.rbs_link_2.x,SG.rbs_link_2.y,SG.rbs_link_2.z,SG.rbs_link_2.e0,SG.rbs_link_2.e1,SG.rbs_link_2.e2,SG.rbs_link_2.e3,SG.rbs_link_3.x,SG.rbs_link_3.y,SG.rbs_link_3.z,SG.rbs_link_3.e0,SG.rbs_link_3.e1,SG.rbs_link_3.e2,SG.rbs_link_3.e3,SG.rbs_rocker_1.x,SG.rbs_rocker_1.y,SG.rbs_rocker_1.z,SG.rbs_rocker_1.e0,SG.rbs_rocker_1.e1,SG.rbs_rocker_1.e2,SG.rbs_rocker_1.e3,SG.rbs_rocker_2.x,SG.rbs_rocker_2.y,SG.rbs_rocker_2.z,SG.rbs_rocker_2.e0,SG.rbs_rocker_2.e1,SG.rbs_rocker_2.e2,SG.rbs_rocker_2.e3,SG.rbs_rocker_3.x,SG.rbs_rocker_3.y,SG.rbs_rocker_3.z,SG.rbs_rocker_3.e0,SG.rbs_rocker_3.e1,SG.rbs_rocker_3.e2,SG.rbs_rocker_3.e3
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,1.0,0.0,0.0,0.0,-50.0,-430.0,215.0,1.0,0.0,0.0,0.0,88.5,215.0,215.0,1.0,0.0,0.0,0.0,-88.5,215.0,215.0,1.0,0.0,0.0,0.0,-50.0,-430.0,0.0,1.0,0.0,0.0,0.0,88.5,215.0,0.0,1.0,0.0,0.0,0.0,-88.5,215.0,0.0,1.0,0.0,0.0,0.0
1,1.509260753191624e-22,-1.3789239181933992e-22,-1.8038304493350912e-22,1.0,-5.594284469215471e-25,4.441620611576948e-25,9.120590869395976e-25,0.00034228662605635435,-0.3698300750396197,427.9020645712596,0.9999880964123129,0.004878584723006687,4.573305430329445e-06,-1.1900425649981866e-05,-49.904297775359865,-430.1746793727139,208.68206933404656,0.9999993040167713,0.0006304018052402886,-0.00024599007669051816,0.0009651087439089044,88.50273404208347,214.80831609186717,214.99927175190945,0.9999993053380992,0.0006727846491191648,5.927736785535466e-06,0.0009664405113620771,-88.49726503949981,214.8116181682873,215.00055925559636,0.9999992619779521,0.0006750423961275232,6.802008339657721e-06,-0.001008808653251017,-49.899342202715296,-430.0,-3.1711965153370394,0.9994966263011646,-1.1375935475106763e-25,-0.03172793616195287,-1.2227266711575486e-25,88.5,215.0,3.4501324378577376e-15,1.0,-2.6172981362802994e-24,3.415973249774324e-17,2.7406187855603903e-25,-88.5,215.0,-3.450132099482562e-15,1.0,-2.617298136821364e-24,3.415973249774324e-17,2.7406187115591675e-25
2,4.343955213876219e-22,-1.124825287209061e-22,-2.359798686625455e-22,1.0,-5.117422501123671e-25,5.488991406307499e-26,1.3723793719733681e-24,0.001236373064980165,-0.6927816328818877,425.84478908778607,0.9999533147227992,0.0096622768476024,1.7694862091760897e-05,-4.6681819739475887e-05,-49.617276549132164,-430.3062439019482,202.43818607980646,0.9999970804730496,0.00114845382675818,-0.000981997284011664,0.0018849908400552797,88.5106902848417,214.6270710214983,214.99716473770087,0.9999973788565639,0.0013084585105429434,2.3232702435116855e-05,0.0018780729812303725,-88.48930814816863,214.64000043112708,215.00220907235064,0.999997040756174,0.0013173529718544135,2.6575871018198213e-05,-0.0020444360674481098,-49.59774897205656,-430.0,-6.329623741821131,0.9979867602836131,-1.8993108484684954e-24,-0.0634239249829566,1.642870636069666e-24,88.5,215.0,-2.75124482765018e-15,1.0,-2.8920830926442525e-24,-2.7240043132294543e-17,2.152588429392464e-24,-88.5,215.0,2.751243299211656e-15,1.0,-2.8920830901379215e-24,-2.724004313229454e-17,2.1525884180912743e-24
3,5.837293522534825e-23,-6.167821407741226e-23,6.472814373737489e-22,1.0,-4.9555828043655315e-25,1.3734229060014982e-24,2.174159264136141e-25,0.002500890727742993,-0.9702865984857827,423.8358229733972,0.999897257619098,0.01433373262117025,3.841763347168403e-05,-0.00010273776299269458,-49.13960215057789,-430.3967913764468,196.29247760259366,0.9999925771574971,0.0015557254410043552,-0.0022030720916886453,0.0027511661472765965,88.52345307956745,214.45647820038465,214.9938023290923,0.9999944435170525,0.0019063098765571393,5.108716550376143e-05,0.002733846880344999,-88.47654270235041,214.48488327833346,215.00489072104202,0.999993336221711,0.0019259669873210041,5.8264562000560526e-05,-0.0031003431669783164,-49.096443109452494,-430.0,-9.462563807367868,0.9954720061736273,-1.7142608107702804e-24,-0.09505605128706655,-1.0495263290817135e-24,88.5,215.0,6.532520093945705e-16,1.0,-8.146464105136917e-25,6.467841158561992e-18,-2.293420308575068e-25,-88.5,215.0,-6.53251971625166e-16,1.0,-8.146464380309609e-25,6.467841158561991e-18,-2.2934202669020996e-25
4,-2.0701286430254846e-22,-1.8517178820831027e-23,1.165571714160454e-22,1.0,7.506600289906431e-25,-9.746299419391232e-25,1.4738904418046713e-25,0.003980145056668168,-1.2043267851822674,421.8821705444292,0.9998217915679511,0.018877043181361425,6.575074449826936e-05,-0.00017820097497161082,-48.472599597211804,-430.4489210036178,190.2680068150129,0.9999843386759224,0.0018556342070557433,-0.0039018368541180164,0.0035568648941261,88.5405578574731,214.2966224155829,214.98931845878997,0.9999907116167589,0.0024660827880383343,8.854236208957731e-05,0.0035334148275894275,-88.45943124140612,214.34580841026147,215.00852907462567,0.9999881744010614,0.002500317779694906,0.00010068626226233398,-0.004169735418431782,-48.39744319872984,-430.0,-12.55740146821521,0.9919548961359682,1.5181566768321235e-25,-0.12659246420508663,1.113636402527885e-25,88.5,215.0,-5.472784605605008e-15,1.0,1.4367748711418832e-24,-5.418599322666453e-17,-4.443600684723539e-25,-88.5,215.0,5.472784309744797e-15,1.0,1.436774838628302e-24,-5.4185993226664535e-17,-4.443600718208036e-25
5,3.8129113283369873e-23,-2.0300012163856325e-23,-3.0880028383392027e-22,1.0,-1.46995674253874e-25,-5.602129601966425e-25,4.827634937723243e-25,0.005545233530370232,-1.397344409933142,419.990190958833,0.9997289923260821,0.02327772513228698,9.868548289725892e-05,-0.0002709948159295785,-47.61827522461082,-430.4656427157506,184.38672289684695,0.9999702433408603,0.0020532676517115017,-0.006068580470919127,0.0042970811955570865,88.56150260937342,214.14747428652686,214.98385392150956,0.9999863793642723,0.002987924593301409,0.0001345529188689107,0.004277051283219129,-88.43847340028893,214.22215181432406,215.01303471448637,0.999981607027995,0.0030401929888239734,0.00015256668053158332,-0.0052456582277152905,-47.503563865821874,-430.0,-15.601674905406638,0.9874389716023163,3.0381141936029203e-26,-0.15800140924243578,-1.7654876274747566e-24,88.5,215.0,-2.0291718858128536e-15,1.0,-1.8559665922953194e-25,-2.0090808609342923e-17,-1.2998883234941372e-24,-88.5,215.0,2.0291702290729348e-15,1.0,-1.855966889468056e-25,-2.009080860934293e-17,-1.299888322161544e-24
6,5.595183917413709e-23,5.695587165452482e-23,-4.185670227932606e-23,1.0,-5.109429031886078e-25,-5.677800424418835e-26,1.022746395709605e-25,0.007093727663262286,-1.5521535882248778,418.1656118036642,0.9996210949540207,0.027522685582939785,0.00013621759064234962,-0.0003788833940624647,-46.579327813556304,-430.45028949957896,178.66943163776264,0.9999475604606526,0.0021551823257793413,-0.008691387213773256,0.0049685858942432725,88.58575901543759,214.00890584307612,214.97755353440928,0.9999816241932098,0.0034723305186892908,0.00018800096303667635,0.00496556825239165,-88.41419505769952,214.11315327416554,215.01830662905644,0.9999737117431506,0.003545687976591248,0.00021256860113737778,-0.006321086204280776,-46.41840444731312,-430.0,-18.583125904267938,0.9819287797258782,2.7937868776810836e-25,-0.18925126025388375,-5.441041040258734e-25,88.5,215.0,1.4200998765178772e-15,1.0,-2.219268484313349e-25,1.4060397250452878e-17,2.1050739897113347e-25,-88.5,215.0,-1.420102055536027e-15,1.0,-2.2192687853551013e-25,1.4060397250452866e-17,2.1050739947030164e-25
7,6.826457137717874e-23,-1.785807965548288e-23,-2.1085089920307053e-22,1.0,-1.0193111000673234e-24,1.968896642289369e-24,9.663924589055706e-25,0.008548245072891666,-1.6718551984378118,416.41355216805914,0.999500446343576,0.03160016851491567,0.0001773658274853402,-0.0004995191323761364,-45.359156360541114,-430.4064336081925,173.13578047696487,0.999913024165278,0.002169184605746889,-0.011756276139490074,0.005569902054823769,88.6127826334503,213.88070599727146,214.97056364696923,0.9999766032793694,0.003920088678198582,0.0002477187798067578,0.005600230829460931,-88.3871384024815,214.01794481326434,215.0242349142434,0.9999645915945851,0.004017159621519887,0.0002793188676836122,-0.007389005076247446,-45.14633449718165,-430.0,-21.48974921391125,0.9754298688027948,2.034392564418816e-25,-0.22031055128839855,7.825238641267696e-25,88.5,215.0,4.812175217935717e-15,1.0,5.740372324207733e-26,4.764531103409558e-17,1.3111155921091768e-24,-88.5,215.0,-4.812175685412376e-15,1.0,5.740368193192842e-26,4.764531103409558e-17,1.3111155747176159e-24
8,2.0892322165239914e-22,3.829854208136593e-23,6.365153272799614e-22,1.0,-2.941975131692541e-25,1.8254337810512485e-24,-3.9672543816221117e-25,0.009854221664639983,-1.7597567422099785,414.73855338759716,0.9993694611081119,0.03549968617389674,0.00022118684046729388,-0.0006304869439523375,-43.96186390947452,-430.3378082207895,167.8042558078047,0.9998629209448012,0.002104100105067316,-0.015247347678625284,0.006101245918655433,88.64202204973279,213.76259556431253,214.96302999747687,0.9999714530767155,0.00433222672813209,0.0003125096897009988,0.006182674672021581,-88.35785299990879,213.935577543162,215.030703387971,0.9999543738432487,0.004455181491599483,0.0003514324831960541,-0.008442485265662866,-43.692476192147474,-430.0,-24.309840888143214,0.9679487826854763,-2.175581185547975e-24,-0.2511480082726917,-6.626294413524173e-25,88.5,215.0,-1.380288812893814e-15,1.0,-1.7388785053946794e-24,-1.3666225895382387e-17,-7.729732919235276e-25,-88.5,215.0,1.38028829287943e-15,1.0,-1.738878560333754e-24,-1.3666225895382387e-17,-7.729733127349241e-25
9,-1.3421327823783834e-22,-1.4911103427811535e-23,4.705118034748766e-22,1.0,1.6523353981794065e-24,-5.604120691944568e-25,1.7452387224368682e-25,0.010977169591163086,-1.8192983458787333,413.1446156645626,0.9992305814079754,0.03921193910339114,0.00026678652382142794,-0.0007693444445186611,-42.39225701849494,-430.24823562936155,162.69219013235096,0.9997931878354269,0.001969538216460546,-0.019146934391657,0.006564436779841219,88.672926953869,213.65424156739707,214.95509590071003,0.9999662896779524,0.004709961095087158,0.0003811669427431389,0.006714827049702264,-88.32688788746205,213.86504654314635,215.03759205065742,0.9999432081106442,0.004860501165241183,0.0004275336769051392,-0.009474746619396955,-42.062683706474736,-430.0,-27.03204541312548,0.9594930541934986,9.818553155959386e-25,-0.28173258050155914,-1.0776156863149199e-24,88.5,215.0,2.064184328359117e-15,1.0,-3.7108485065982434e-25,2.0437455361866695e-17,1.2154050316249205e-24,-88.5,215.0,-2.0641833350255533e-15,1.0,-3.710849224966689e-25,2.0437455361866695e-17,1.2154050103827352e-24
